,alpha,beta,gamma,w_line,w_edge,sigma,iou,acc
293,0.01,30.0,0.01,-1.0,1.0,3.0,0.7347632646560669,0.588135593220339
294,0.01,30.0,0.01,0.5,-1.0,1.0,0.8378798961639404,0.6338983050847458
295,0.01,30.0,0.01,0.5,-1.0,3.0,0.8489329814910889,0.6694915254237288
296,0.01,30.0,0.01,0.5,0.0,1.0,0.8443974852561951,0.6627118644067796
297,0.01,30.0,0.01,0.5,0.0,3.0,0.8535383939743042,0.6728813559322034
298,0.01,30.0,0.01,0.5,1.0,1.0,0.8293207883834839,0.6322033898305085
299,0.01,30.0,0.01,0.5,1.0,3.0,0.8389837145805359,0.6610169491525424
300,0.01,30.0,0.01,0.0,-1.0,1.0,0.8219541311264038,0.6338983050847458
301,0.01,30.0,0.01,0.0,-1.0,3.0,0.8242343068122864,0.6372881355932203
302,0.01,30.0,0.01,0.0,0.0,1.0,0.8222724795341492,0.6372881355932203
303,0.01,30.0,0.01,0.0,0.0,3.0,0.8222724795341492,0.6372881355932203
304,0.01,30.0,0.01,0.0,1.0,1.0,0.8178831338882446,0.6271186440677966
305,0.01,30.0,0.01,0.0,1.0,3.0,0.8187340497970581,0.6288135593220339
306,0.01,30.0,0.005,-1.0,-1.0,1.0,0.7891722321510315,0.6745762711864407
307,0.01,30.0,0.005,-1.0,-1.0,3.0,0.6622071862220764,0.6457627118644068
308,0.01,30.0,0.005,-1.0,0.0,1.0,0.7637251615524292,0.6135593220338983
309,0.01,30.0,0.005,-1.0,0.0,3.0,0.6606550812721252,0.6457627118644068
310,0.01,30.0,0.005,-1.0,1.0,1.0,0.7846513986587524,0.6186440677966102
